time,temperature
18:47:52,106.74

18:47:53,105.76

18:47:54,106.25

18:47:55,106.74

18:47:56,106.25

18:47:57,106.25

18:47:58,106.74

18:47:59,106.74

18:48:00,105.76

18:48:01,106.25

18:48:02,106.74

18:48:03,106.25

18:48:04,106.74

18:48:05,106.74

18:48:06,106.74

18:48:07,106.25

18:48:08,106.25

18:48:09,106.74

18:48:10,107.23

18:48:11,107.23

18:48:12,105.27

18:48:13,106.74

18:48:14,107.23

18:48:15,106.25

18:48:16,106.74

18:48:17,106.74

18:48:18,107.23

18:48:19,105.76

18:48:20,107.23

18:48:21,107.23

18:48:22,105.76

18:48:23,106.25

18:48:24,106.74

18:48:25,107.23

18:48:26,106.25

18:48:27,107.23

18:48:28,107.23

18:48:29,107.23

18:48:30,106.74

18:48:31,106.74

18:48:32,107.23

18:48:33,106.74

18:48:34,106.25

18:48:35,106.74

18:48:36,106.74

18:48:37,106.74

18:48:38,106.74

18:48:39,105.76

18:48:40,106.25

18:48:41,106.74

18:48:42,106.74

18:48:43,105.27

18:48:44,106.74

18:48:45,106.74

18:48:46,106.74

18:48:47,106.74

18:48:48,106.25

18:48:49,106.74

18:48:50,106.74

18:48:51,106.25

18:48:52,106.74

18:48:53,106.74

18:48:54,106.74

18:48:55,106.74

18:48:56,106.25

18:48:57,106.74

18:48:58,106.74

18:48:59,107.23

18:49:00,107.23

18:49:01,106.74

18:49:02,107.23

18:49:03,106.25

18:49:04,106.25

18:49:05,106.74

18:49:06,107.23

18:49:07,107.23

18:49:08,107.71

18:49:09,107.71

18:49:10,107.71

18:49:11,106.74

18:49:12,107.23

18:49:13,107.71

18:49:14,107.71

18:49:15,107.23

18:49:16,107.71

18:49:17,107.23

18:49:18,107.23

18:49:19,107.23

18:49:20,106.74

18:49:21,106.74

18:49:22,107.23

18:49:23,107.23

18:49:24,107.71

18:49:25,106.74

18:49:26,108.69

18:49:27,109.18

18:49:28,106.74

18:49:29,106.74

18:49:30,107.23

18:49:31,106.25

18:49:32,107.23

18:49:33,107.23

18:49:34,106.25

18:49:35,106.25

18:49:36,107.23

18:49:37,106.25

18:49:38,106.74

18:49:39,107.23

18:49:40,107.23

18:49:41,106.25

18:49:42,106.74

18:49:43,106.74

18:49:44,106.25

18:49:45,107.23

18:49:46,106.74

18:49:47,106.74

18:49:48,106.74

18:49:49,106.74

18:49:50,106.25

18:49:51,106.74

18:49:52,107.23

18:49:53,107.23

18:49:54,106.25

18:49:55,107.23

18:49:56,106.25

18:49:57,106.74

18:49:58,107.23

18:49:59,107.23

18:50:00,105.76

18:50:01,107.23

18:50:02,106.25

18:50:03,107.23

18:50:04,106.74

18:50:05,107.23

18:50:06,106.74

18:50:07,107.23

18:50:08,105.76

18:50:09,106.74

18:50:10,106.74

18:50:11,107.23

18:50:12,107.23

18:50:13,106.74

18:50:14,107.23

18:50:15,106.74

18:50:16,106.74

18:50:17,107.23

18:50:18,107.23

18:50:19,106.74

18:50:20,107.23

18:50:21,106.25

18:50:22,106.25

18:50:23,106.74

18:50:24,107.23

18:50:25,106.74

18:50:26,107.23

18:50:27,106.74

18:50:28,106.74

18:50:29,106.74

